brand,official_name,kcal,servings,first_seen,last_seen
7-11,富錦樹-剝皮辣椒雞燴飯,605,,2026-09-26,2026-09-26
7-11,小小樹食松露蕈菇燉飯,598,,2026-09-26,2026-09-26
7-11,左營劉家酸菜白肉冬粉,163,,2026-09-26,2026-09-26
7-11,巧克力霜淇淋,185,,2026-09-26,2026-09-26
7-11,布丁霜淇淋,172,,2026-09-26,2026-09-26
7-11,帕泰家-泰式綠咖哩嫩雞飯(辣),668,,2026-09-26,2026-09-26
7-11,弘揚植物肉青花椒熟水餃,206,,2026-09-26,2026-09-26
7-11,弘陽-植物肉玉米熟水餃,210,,2026-09-26,2026-09-26
7-11,御料小館 x SN-炸裂椒麻腿,390,,2026-09-26,2026-09-26
7-11,御料小館 x SN-美式BBQ烤雞翅,272,,2026-09-26,2026-09-26
7-11,御料小館X世界的山將夢幻雞翅,181,,2026-09-26,2026-09-26
7-11,御料小館X艋舺雞排-爆汁嫩雞,242,,2026-09-26,2026-09-26
7-11,御料小館x世界的山將夢幻唐揚雞,332,,2026-09-26,2026-09-26
7-11,御料小館x膳馨 無骨秘製排骨酥,242,,2026-09-26,2026-09-26
7-11,御料小館x膳馨 蜜汁醬燒雞排,347,,2026-09-26,2026-09-26
7-11,御料小館原味嫩雞塊,243,,2026-09-26,2026-09-26
7-11,御料小館奶油培根義大利麵,350,,2026-09-26,2026-09-26
7-11,御料小館招牌水煎包,457,,2026-09-26,2026-09-26
7-11,御料小館招牌水餃,376,,2026-09-26,2026-09-26
7-11,御料小館日式照燒雞肉丸,276,,2026-09-26,2026-09-26
7-11,御料小館椒鹽鹽酥雞,281,,2026-09-26,2026-09-26
7-11,御料小館沙茶豬肉蛋炒飯,413,,2026-09-26,2026-09-26
7-11,御料小館泰式打拋豬炒飯,349,,2026-09-26,2026-09-26
7-11,御料小館火腿肉絲黃金蛋炒飯,479,,2026-09-26,2026-09-26
7-11,御料小館玉米豬肉水餃,294,,2026-09-26,2026-09-26
7-11,御料小館秘製滷雞翅,213,,2026-09-26,2026-09-26
7-11,御料小館美式經典紐奧良烤雞翅,292,,2026-09-26,2026-09-26
7-11,御料小館豆乳雞,248,,2026-09-26,2026-09-26
7-11,御料小館辣味雞柳條,188,,2026-09-26,2026-09-26
7-11,御料小館青醬蛤蜊義大利麵,327,,2026-09-26,2026-09-26
7-11,御料小館韓式泡菜鍋貼,402,,2026-09-26,2026-09-26
7-11,御料小館韓風洋釀炸雞,201,,2026-09-26,2026-09-26
7-11,御料小館韓風甜辣醬炸雞,284,,2026-09-26,2026-09-26
7-11,御料小館香辣炸雞球,245,,2026-09-26,2026-09-26
7-11,御料小館鮮肉鍋貼,412,,2026-09-26,2026-09-26
7-11,御選肉鬆飯糰,248,,2026-09-26,2026-09-26
7-11,恩美萊手撕起司棒,85,,2026-09-26,2026-09-26
7-11,恩美萊紅切達起司棒,113,,2026-09-26,2026-09-26
7-11,愛樂薇水果優格-草莓,113,,2026-09-26,2026-09-26
7-11,愛樂薇水果優格-藍莓,119,,2026-09-26,2026-09-26
7-11,愛餡大亨-煉乳牛奶,293,,2026-09-26,2026-09-26
7-11,愛餡大亨-爆漿卡士達脆糖菠蘿,345,,2026-09-26,2026-09-26
7-11,手工高麗菜捲,40,,2026-09-26,2026-09-26
7-11,手撕嫩雞青醬麵沙拉,170,,2026-09-26,2026-09-26
7-11,抹茶紅豆土司,210,,2026-09-26,2026-09-26
7-11,提拉米蘇 QQ 蛋糕捲,233,,2026-09-26,2026-09-26
7-11,握便當-乾杯炭火燒肉,525,,2026-09-26,2026-09-26
7-11,握便當-黑胡椒烤雞,334,,2026-09-26,2026-09-26
7-11,擔擔胡麻冷麵,500,,2026-09-26,2026-09-26
7-11,新感覺花生夾心,297,,2026-09-26,2026-09-26
7-11,新感覺雙重巧克力夾心,263,,2026-09-26,2026-09-26
7-11,新感覺鮪魚沙拉,211,,2026-09-26,2026-09-26
7-11,新手工高麗菜捲,40,,2026-09-26,2026-09-26
7-11,新極上飯糰-明太子鮭魚,228,,2026-09-26,2026-09-26
7-11,新極上飯糰-炙烤鮭魚腹,184,,2026-09-26,2026-09-26
7-11,新極上飯糰-炙燒明太子鮭魚,195,,2026-09-26,2026-09-26
7-11,新極上飯糰-炭烤銀鮭,190,,2026-09-26,2026-09-26
7-11,新極上飯糰-煙燻銀鮭,221,,2026-09-26,2026-09-26
7-11,新極上飯糰-蔥鹽生鮭,196,,2026-09-26,2026-09-26
7-11,新極上飯糰-鮭魚鮭魚卵,220,,2026-09-26,2026-09-26
7-11,新極大飯糰-炙燒蔥鹽牛肉,256,,2026-09-26,2026-09-26
7-11,旗魚黑輪,63,,2026-09-26,2026-09-26
7-11,日式佛蒙特咖哩雞肉飯,795,,2026-09-26,2026-09-26
7-11,日式半熟蛋,63,,2026-09-26,2026-09-26
7-11,日式碳烤風味熱狗,203,,2026-09-26,2026-09-26
7-11,日式豆皮蕎麥風味冷麵,387,,2026-09-26,2026-09-26
7-11,日式雞肉丸,83,,2026-09-26,2026-09-26
7-11,日式雪花牛丼,669,,2026-09-26,2026-09-26
7-11,日式飛龍頭(魚板),48,,2026-09-26,2026-09-26
7-11,日式鹽醬豆腐,129,,2026-09-26,2026-09-26
7-11,日式麻糬泡芙,140,,2026-09-26,2026-09-26
7-11,日本一正炸魚餅,42,,2026-09-26,2026-09-26
7-11,日本一正野燒竹輪,51,,2026-09-26,2026-09-26
7-11,日東紅茶焙茶歐蕾霜淇淋,221,,2026-09-26,2026-09-26
7-11,日東紅茶皇家奶茶霜淇淋,176,,2026-09-26,2026-09-26
7-11,昂舒巴黎卡士達奶霜生甜甜圈,343,,2026-09-26,2026-09-26
7-11,昂舒巴黎卡士達雙餡泡芙,156,,2026-09-26,2026-09-26
7-11,昂舒巴黎提拉米蘇,198,,2026-09-26,2026-09-26
7-11,昂舒巴黎提拉米蘇覆盆莓口味,181,,2026-09-26,2026-09-26
7-11,昂舒巴黎焦糖生甜甜圈,288,,2026-09-26,2026-09-26
7-11,星宇握便當-明太子火腿厚蛋,379,,2026-09-26,2026-09-26
7-11,星宇航空-雙醬雞排咖哩飯,764,,2026-09-26,2026-09-26
7-11,星級饗宴-麻油雞飯糰,354,,2026-09-26,2026-09-26
7-11,星級饗宴X晶華-碧玉鮮蝦餃,224,,2026-09-26,2026-09-26
7-11,星級饗宴x晶華法式牛肉丸焗烤飯,379,,2026-09-26,2026-09-26
7-11,春上方塊戚風杯(北海道奶霜),296,,2026-09-26,2026-09-26
7-11,晨光GOLD巧克力生土司,255,,2026-09-26,2026-09-26
7-11,晨光厚奶酥土司,722,,2026-09-26,2026-09-26
7-11,晶典小品-咖啡凍,92,,2026-09-26,2026-09-26
7-11,晶典小品-茉莉茶凍,86,,2026-09-26,2026-09-26
7-11,晶英-港式醬燜牛肉燴飯,488,,2026-09-26,2026-09-26
